sport,discipline,category
motorsport,single_seater,formula_1
motorsport,single_seater,formula_2
motorsport,single_seater,formula_3
motorsport,single_seater,regional_f3
motorsport,single_seater,formula_4
motorsport,single_seater,f1_academy
motorsport,single_seater,indycar
motorsport,single_seater,indy_nxt
motorsport,single_seater,usf_pro_2000
motorsport,single_seater,usf_2000
motorsport,single_seater,super_formula
motorsport,single_seater,formula_e
motorsport,sportscar,lmh
motorsport,sportscar,lmdh
motorsport,sportscar,lmp2
motorsport,sportscar,lmp3
motorsport,gt,gt3
motorsport,gt,gt4
motorsport,gt,one_make_cups
motorsport,karting,karting
motorsport,stock_car,nascar_cup
motorsport,stock_car,nascar_xfinity
motorsport,stock_car,nascar_craftsman_truck
motorsport,stock_car,supercars
motorsport,stock_car,arca_menards
motorsport,sprint_dirt_oval,world_of_outlaws_sprint_cars
motorsport,sprint_dirt_oval,usac_sprint_midget_silver_crown
motorsport,sprint_dirt_oval,dirt_late_model
motorsport,touring_car,tcr
motorsport,touring_car,dtm
motorsport,touring_car,super_gt
motorsport,rally,wrc
motorsport,rally,national_rally_championships
motorsport,rally,erc
motorsport,rally,dakar_w2rc
motorsport,rally,score_international_baja_1000
motorsport,off_road,rallycross
motorsport,off_road,short_course_off_road
motorsport,off_road,stadium_super_trucks
motorsport,hill_climb,fia_european_hill_climb_championship
motorsport,hill_climb,pikes_peak_international_hill_climb
motorsport,truck_racing,fia_european_truck_racing_championship
motorsport,drag_racing,nhra_top_fuel_funny_car_pro_stock
motorsport,drift,formula_drift_d1gp_national_series
motorsport,ev_new_formats,extreme_e_extreme_h
motorsport,motorcycle_circuit,motogp
motorsport,motorcycle_circuit,moto2
motorsport,motorcycle_circuit,moto3
motorsport,motorcycle_circuit,worldsbk
motorsport,motorcycle_circuit,worldssp_ssp300
motorsport,motorcycle_circuit,national_superbike
motorsport,motorcycle_circuit,fim_ewc
motorsport,motorcycle_circuit,fim_sidecar_world_championship
motorsport,motorcycle_road_racing,isle_of_man_tt
motorsport,motorcycle_road_racing,north_west_200_ulster_gp_macau_gp
motorsport,motorcycle_off_road,motocross_world_championship
motorsport,motorcycle_off_road,ama_supercross_pro_motocross
motorsport,motorcycle_off_road,dakar_bikes
motorsport,motorcycle_off_road,endurogp_trial_national_enduro
motorsport,motorcycle_speedway_flat_track,fim_speedway_grand_prix
motorsport,motorcycle_speedway_flat_track,ama_progressive_american_flat_track
motorsport,drag_racing,nhra_pro_stock_motorcycle
motorsport,ev_new_formats,motoe